"Player","Kit_No","Position","Height","Weight","NT","APP","SUB","Saves","Conceded","Assist","Foul","Fouled","YC","RC","Goals","Shots","OnTarget","Club"
"Marc-André ter Stegen","1","GK","1.88 m","83 kg","Germany","33","0","61","9","0","0","1","0","0",NA,NA,NA,"Barcelona"
"Iñaki Peña","13","GK","1.83 m","78 kg","Spain","0","0","0","0","0","0","0","0","0",NA,NA,NA,"Barcelona"
"Ander Astralaga","31","GK","--","--","Spain","0","0","0","0","0","0","0","0","0",NA,NA,NA,"Barcelona"
"Arnau Tenas","36","GK","1.85 m","83 kg","Spain","0","0","0","0","0","0","0","1","0",NA,NA,NA,"Barcelona"
"Ronald Araújo","4","Def","1.88 m","78 kg","Uruguay","21","1",NA,NA,"2","15","17","6","1","0","19","2","Barcelona"
"Andreas Christensen","15","Def","1.88 m","82 kg","Denmark","18","1",NA,NA,"1","13","6","2","0","1","6","3","Barcelona"
"Marcos Alonso","17","Def","1.88 m","83 kg","Spain","19","10",NA,NA,"0","9","5","2","0","1","5","2","Barcelona"
"Jordi Alba","18","Def","1.7 m","68 kg","Spain","21","9",NA,NA,"3","8","3","4","1","2","11","3","Barcelona"
"Sergi Roberto","20","Def","1.78 m","68 kg","Spain","20","7",NA,NA,"1","16","10","3","0","4","14","6","Barcelona"
"Jules Koundé","23","Def","1.8 m","73 kg","France","25","1",NA,NA,"3","21","9","1","0","0","12","1","Barcelona"
"Eric García","24","Def","1.83 m","76 kg","Spain","20","7",NA,NA,"0","15","8","3","0","1","5","1","Barcelona"
"Álex Balde","28","Def","1.75 m","68 kg","Spain","29","3",NA,NA,"5","22","24","4","0","0","14","2","Barcelona"
"Chadi Riad","35","Def","1.85 m","--","Morocco","1","1",NA,NA,"0","0","0","0","0","0","0","0","Barcelona"
"Sergio Busquets","5","Mid","1.88 m","76 kg","Spain","27","2",NA,NA,"4","29","40","6","1","0","6","1","Barcelona"
"Pedri","8","Mid","1.75 m","58 kg","Spain","25","4",NA,NA,"0","8","43","2","0","6","19","9","Barcelona"
"Franck Kessié","19","Mid","1.83 m","73 kg","Ivory Coast","24","19",NA,NA,"1","14","12","4","0","1","11","2","Barcelona"
"Frenkie de Jong","21","Mid","1.8 m","73 kg","Netherlands","28","4",NA,NA,"2","28","26","2","0","2","17","10","Barcelona"
"Marc Casadó","29","Mid","1.73 m","66 kg","Spain","0","0",NA,NA,"0","0","0","0","0","0","0","0","Barcelona"
"Gavi","30","Mid","1.73 m","68 kg","Spain","32","5",NA,NA,"3","69","61","9","0","1","25","6","Barcelona"
"Pablo Torre","32","Mid","1.73 m","63 kg","Spain","5","5",NA,NA,"0","3","0","0","0","0","0","0","Barcelona"
"Ángel Alarcón","38","Mid","--","--","Spain","4","4",NA,NA,"0","2","1","0","0","0","1","1","Barcelona"
"Aleix Garrido","40","Mid","1.65 m","--","Spain","1","1",NA,NA,"0","0","0","0","0","0","0","0","Barcelona"
"Ousmane Dembélé","7","Fwd","1.78 m","67 kg","France","20","6",NA,NA,"5","13","13","4","0","5","41","14","Barcelona"
"Robert Lewandowski","9","Fwd","1.85 m","81 kg","Poland","29","1",NA,NA,"6","32","39","2","1","19","112","46","Barcelona"
"Ansu Fati","10","Fwd","1.78 m","66 kg","Spain","31","20",NA,NA,"3","15","12","3","0","4","53","13","Barcelona"
"Ferran Torres","11","Fwd","1.83 m","77 kg","Spain","29","16",NA,NA,"1","16","24","4","1","4","37","11","Barcelona"
"Raphinha","22","Fwd","1.75 m","68 kg","Brazil","31","10",NA,NA,"6","18","33","7","0","7","68","20","Barcelona"
"Ilias Akhomach","27","Fwd","--","--","Spain","--","--",NA,NA,"--","--","--","--","--","--","--","--","Barcelona"
"Estanis Pedrola","39","Fwd","1.85 m","--","Spain","0","0",NA,NA,"0","0","0","0","0","0","0","0","Barcelona"
"Lamine Yamal","41","Fwd","--","--","Spain","1","1",NA,NA,"0","0","0","0","0","0","1","1","Barcelona"
"Thibaut Courtois","1","GK","2.01 m","96 kg","Belgium","27","0","61","25","0","0","2","0","0",NA,NA,NA,"Real Madrid"
"Andriy Lunin","13","GK","1.91 m","78 kg","Ukraine","7","0","9","6","0","0","0","0","0",NA,NA,NA,"Real Madrid"
"Luis López","26","GK","1.93 m","83 kg","Spain","0","0","0","0","0","0","0","0","0",NA,NA,NA,"Real Madrid"
"Lucas Cañizares","30","GK","1.85 m","81 kg","Spain","0","0","0","0","0","0","0","0","0",NA,NA,NA,"Real Madrid"
"Diego Piñeiro","38","GK","--","--","Spain","0","0","0","0","0","0","0","0","0",NA,NA,NA,"Real Madrid"
"Mario de Luis","43","GK","1.83 m","73 kg","Spain","0","0","0","0","0","0","0","0","0",NA,NA,NA,"Real Madrid"
"Dani Carvajal","2","Def","1.73 m","73 kg","Spain","24","6",NA,NA,"4","17","14","5","1","0","7","0","Real Madrid"
