"Club","LeagueNameLong","Position","Points","MatchPlayed","Win","Draw","Lost","GoalScored","Conceded","GoalDiff.","LeagueNameShort","LeagueSeason","totalShots"
"1. FC Union Berlin","German Bundesliga",3,59,32,17,8,7,48,34,14,"Bundesliga","2022/23",0
"AC Ajaccio","French Ligue 1",18,23,35,6,5,24,22,66,-44,"Ligue-1","2022/23",0
"AC Milan","Italian Serie-A",5,61,35,17,10,8,55,41,14,"Serie-A","2022/23",496
"AFC Bournemouth","English Premier League",14,39,36,11,6,19,37,69,-32,"EPL","2022/23",0
"AJ Auxerre","French Ligue 1",16,34,34,8,10,16,32,56,-24,"Ligue-1","2022/23",0
"Ajax Amsterdam","Dutch Eredivisie",3,63,31,18,9,4,79,32,47,"Eredivisie","2022/23",532
"Almería","Spanish La Liga",14,36,34,10,6,18,43,61,-18,"La Liga","2022/23",0
"Angers","French Ligue 1",20,14,34,3,5,26,28,74,-46,"Ligue-1","2022/23",0
"Arouca","Portuguese Primeira Liga",5,48,31,13,9,9,33,35,-2,"Primeira Liga","2022/23",0
"Arsenal","English Premier League",2,81,35,25,6,4,83,39,44,"EPL","2022/23",589
"AS Monaco","French Ligue 1",4,64,34,19,7,8,68,51,17,"Ligue-1","2022/23",0
"AS Roma","Italian Serie-A",6,58,34,17,7,10,45,33,12,"Serie-A","2022/23",383
"Aston Villa","English Premier League",7,57,36,17,6,13,48,44,4,"EPL","2022/23",0
"Atalanta","Italian Serie-A",7,58,35,17,7,11,56,42,14,"Serie-A","2022/23",0
"Athletic Club","Spanish La Liga",8,47,34,13,8,13,44,38,6,"La Liga","2022/23",0
"Atletico Madrid","Spanish La Liga",3,69,33,21,6,6,60,26,34,"La Liga","2022/23",445
"AZ Alkmaar","Dutch Eredivisie",4,61,31,18,7,6,59,32,27,"Eredivisie","2022/23",0
"Barcelona","Spanish La Liga",1,82,33,26,4,3,60,11,49,"La Liga","2022/23",477
"Bayer Leverkusen","German Bundesliga",7,48,31,14,6,11,54,43,11,"Bundesliga","2022/23",394
