"Club","Player","Kit_No","Position","Height","Weight","NT","APP","SUB","Saves","Conceded","Assist","Foul","Fouled","YC","RC","Goals","Shots","OnTarget","LeagueNameLong"
"AC Milan","Ciprian Tatarusanu",1,"GK","1.98 m","88 kg","Romania","16","0","35","21","1","0","3","0","0","0",0,"0","Italian Serie-A"
"AC Milan","Mike Maignan",16,"GK","1.91 m","87 kg","France","19","0","22","19","1","0","3","0","0","0",0,"0","Italian Serie-A"
"AC Milan","Denis Vásquez",77,"GK","1.96 m","92 kg","Colombia","0","0","0","0","0","0","0","0","0","0",0,"0","Italian Serie-A"
"AC Milan","Antonio Mirante",83,"GK","1.93 m","78 kg","Italy","0","0","0","0","0","0","0","0","0","0",0,"0","Italian Serie-A"
"AC Milan","Lapo Nava",92,"GK","0","0","Italy","0","0","0","0","0","0","0","0","0","0",0,"0","Italian Serie-A"
"AC Milan","Adam Bakoune",0,"Def","0","0","Italy","0","0","0","0","0","0","0","0","0","0",0,"0","Italian Serie-A"
"AC Milan","Jan-Carlo Simic",0,"Def","1.85 m","0","Serbia","0","0","0","0","0","0","0","0","0","0",0,"0","Italian Serie-A"
"AC Milan","Davide Calabria",2,"Def","1.78 m","68 kg","Italy","22","4","0","0","3","14","13","6","0","1",12,"1","Italian Serie-A"
"AC Milan","Fodé Ballo-Touré",5,"Def","1.83 m","68 kg","Senegal","8","3","0","0","0","5","11","0","0","1",5,"3","Italian Serie-A"
"AC Milan","Theo Hernández",19,"Def","1.83 m","81 kg","France","29","0","0","0","4","19","56","5","0","4",48,"13","Italian Serie-A"
"AC Milan","Pierre Kalulu",20,"Def","1.78 m","68 kg","France","33","7","0","0","1","23","23","4","0","1",11,"2","Italian Serie-A"
"AC Milan","Sergiño Dest",21,"Def","1.73 m","68 kg","USA","8","6","0","0","0","5","4","0","0","0",1,"0","Italian Serie-A"
