"Club","LeagueNameLong","Position","Points","MatchPlayed","Win","Draw","Lost","GoalScored","Conceded","GoalDiff.","totalShots","maxPoints","pointsRatio","successFactor"
"AC Milan","Italian Serie-A",5,61,35,17,10,8,55,41,14,496,105,58.1,"Moderately Successful"
"Ajax Amsterdam","Dutch Eredivisie",3,63,31,18,9,4,79,32,47,532,93,67.74,"Successful"
"Arsenal","English Premier League",2,81,35,25,6,4,83,39,44,589,105,77.14,"Very Successful"
"AS Roma","Italian Serie-A",6,58,34,17,7,10,45,33,12,383,102,56.86,"Moderately Successful"
"Atletico Madrid","Spanish La Liga",3,69,33,21,6,6,60,26,34,445,99,69.7,"Successful"
"Barcelona","Spanish La Liga",1,82,33,26,4,3,60,11,49,477,99,82.83,"Very Successful"
"Bayer Leverkusen","German Bundesliga",7,48,31,14,6,11,54,43,11,394,93,51.61,"Moderately Successful"
"Bayern Munich","German Bundesliga",1,68,32,20,8,4,89,34,55,565,96,70.83,"Very Successful"
"Benfica","Portuguese Primeira Liga",1,83,32,27,2,3,77,18,59,497,96,86.46,"Most Successful"
"Borussia Dortmund","German Bundesliga",2,67,32,21,4,7,78,42,36,505,96,69.79,"Successful"
"Chelsea","English Premier League",11,43,35,11,10,14,36,41,-5,423,105,40.95,"Moderately Successful"
"FC Porto","Portuguese Primeira Liga",2,76,31,24,4,3,64,19,45,451,93,81.72,"Very Successful"
"Internazionale","Italian Serie-A",3,66,35,21,3,11,66,37,29,567,105,62.86,"Successful"
"Juventus","Italian Serie-A",2,66,34,20,6,8,52,28,24,431,102,64.71,"Successful"
"Liverpool","English Premier League",5,62,35,18,8,9,67,42,25,530,105,59.05,"Moderately Successful"
"Lyon","French Ligue 1",7,56,34,16,8,10,57,41,16,334,102,54.9,"Moderately Successful"
"Manchester City","English Premier League",1,82,34,26,4,4,89,31,58,517,102,80.39,"Very Successful"
"Manchester United","English Premier League",4,66,35,20,6,9,51,41,10,498,105,62.86,"Successful"
"Marseille","French Ligue 1",3,70,34,21,7,6,62,34,28,473,102,68.63,"Successful"
"Napoli","Italian Serie-A",1,83,34,26,5,3,70,23,47,523,102,81.37,"Very Successful"
"Newcastle United","English Premier League",3,66,35,18,12,5,63,31,32,508,105,62.86,"Successful"
"Paris Saint-Germain","French Ligue 1",1,81,35,26,3,6,84,35,49,520,105,77.14,"Very Successful"
"RB Leipzig","German Bundesliga",4,57,31,17,6,8,55,37,18,443,93,61.29,"Successful"
"Real Betis","Spanish La Liga",6,52,33,15,7,11,40,37,3,350,99,52.53,"Moderately Successful"
"Real Madrid","Spanish La Liga",2,71,34,22,5,7,70,32,38,591,102,69.61,"Successful"
"Real Sociedad","Spanish La Liga",4,62,34,18,8,8,45,31,14,406,102,60.78,"Successful"
"Tottenham Hotspur","English Premier League",6,57,36,17,6,13,65,59,6,457,108,52.78,"Moderately Successful"
